Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
TRANSFER,Current,2025-03-01 17:23:09,2025-03-01 17:23:09,To BGN,23.22,0.00,BGN,COMPLETED,23.22
TRANSFER,Current,2025-03-01 17:45:42,2025-03-01 17:45:42,To BGN,23.30,0.00,BGN,COMPLETED,46.52
CARD_PAYMENT,Current,2025-03-01 17:23:18,2025-03-03 15:04:47,Lidl,-23.22,0.00,BGN,COMPLETED,23.30
CARD_PAYMENT,Current,2025-03-01 17:45:50,2025-03-03 17:38:14,Kaufland,-23.30,0.00,BGN,COMPLETED,0.00
TRANSFER,Current,2025-03-04 07:31:52,2025-03-04 07:31:52,To BGN,20.00,0.00,BGN,COMPLETED,20.00
TRANSFER,Current,2025-03-04 07:32:07,2025-03-04 07:32:07,To BGN Април храна,-20.00,0.00,BGN,COMPLETED,0.00
TRANSFER,Current,2025-03-04 14:03:41,2025-03-04 14:03:41,To BGN,6.20,0.00,BGN,COMPLETED,6.20
TRANSFER,Current,2025-03-04 15:26:05,2025-03-04 15:26:05,To BGN,12.47,0.00,BGN,COMPLETED,18.67
TRANSFER,Current,2025-03-04 15:26:35,2025-03-04 15:26:35,To BGN,23.00,0.00,BGN,COMPLETED,41.67
TRANSFER,Current,2025-03-04 15:26:49,2025-03-04 15:26:49,To BGN,29.82,0.00,BGN,COMPLETED,71.49
TRANSFER,Current,2025-03-04 15:40:24,2025-03-04 15:40:24,To BGN Деца 👦🏻 👶🏻,-0.47,0.00,BGN,COMPLETED,71.02
CARD_PAYMENT,Current,2025-03-04 15:27:37,2025-03-05 07:37:50,Temu,-64.82,0.00,BGN,COMPLETED,6.20
CARD_PAYMENT,Current,2025-03-04 14:03:57,2025-03-05 14:45:47,Goldfingers,-6.20,0.00,BGN,COMPLETED,0.00
TRANSFER,Current,2025-03-05 17:44:07,2025-03-05 17:44:07,To BGN,19.66,0.00,BGN,COMPLETED,19.66
TRANSFER,Current,2025-03-05 17:57:16,2025-03-05 17:57:16,To BGN,15.00,0.00,BGN,COMPLETED,34.66
TRANSFER,Current,2025-03-06 08:40:54,2025-03-06 08:40:54,To BGN Април храна,-7.52,0.00,BGN,COMPLETED,27.14
TOPUP,Current,2025-03-06 08:41:18,2025-03-06 08:41:19,Apple Pay Top-Up by *1857,390.00,0.00,BGN,COMPLETED,417.14
TRANSFER,Current,2025-03-06 08:42:15,2025-03-06 08:42:15,To BGN Деца 👦🏻 👶🏻,-220.00,0.00,BGN,COMPLETED,197.14
TRANSFER,Current,2025-03-06 08:42:44,2025-03-06 08:42:44,To BGN Миси,-30.00,0.00,BGN,COMPLETED,167.14
TRANSFER,Current,2025-03-06 08:43:00,2025-03-06 08:43:00,Transfer to Revolut user,-20.00,0.00,BGN,COMPLETED,147.14
TRANSFER,Current,2025-03-06 08:43:55,2025-03-06 08:43:55,To BGN Консервиране/зимнина,-120.00,0.00,BGN,COMPLETED,27.14
TRANSFER,Current,2025-03-06 08:44:08,2025-03-06 08:44:08,To BGN,40.00,0.00,BGN,COMPLETED,67.14
TRANSFER,Current,2025-03-06 08:44:20,2025-03-06 08:44:20,To BGN Йоил болница,-20.00,0.00,BGN,COMPLETED,47.14
TRANSFER,Current,2025-03-06 08:44:35,2025-03-06 08:44:35,To BGN Рожден ден Емануил,-10.00,0.00,BGN,COMPLETED,37.14
TRANSFER,Current,2025-03-06 08:44:44,2025-03-06 08:44:44,To BGN Рожден ден Йоил,-10.00,0.00,BGN,COMPLETED,27.14
TRANSFER,Current,2025-03-06 08:45:02,2025-03-06 08:45:02,To BGN,10.00,0.00,BGN,COMPLETED,37.14
TRANSFER,Current,2025-03-06 08:45:15,2025-03-06 08:45:15,To BGN Цайс Фонд,-10.00,0.00,BGN,COMPLETED,27.14
TRANSFER,Current,2025-03-06 08:45:32,2025-03-06 08:45:32,To BGN,5.00,0.00,BGN,COMPLETED,32.14
TRANSFER,Current,2025-03-06 08:45:44,2025-03-06 08:45:44,"To BGN Съдомиялна ",-5.00,0.00,BGN,COMPLETED,27.14
CARD_PAYMENT,Current,2025-03-05 17:44:16,2025-03-06 16:10:03,Lidl,-19.66,0.00,BGN,COMPLETED,7.48
CARD_PAYMENT,Current,2025-03-05 17:57:58,2025-03-06 17:44:49,Kaufland,-7.48,0.00,BGN,COMPLETED,0.00
TRANSFER,Current,2025-03-07 15:58:50,2025-03-07 15:58:50,To BGN,19.90,0.00,BGN,COMPLETED,19.90
TRANSFER,Current,2025-03-07 15:59:57,2025-03-07 15:59:57,To BGN,30.14,0.00,BGN,COMPLETED,50.04
TRANSFER,Current,2025-03-07 16:00:21,2025-03-07 16:00:21,To BGN Април храна,-19.90,0.00,BGN,COMPLETED,30.14
TRANSFER,Current,2025-03-07 16:20:33,2025-03-07 16:20:33,To BGN,4.50,0.00,BGN,COMPLETED,34.64
TRANSFER,Current,2025-03-07 20:55:07,2025-03-07 20:55:07,To BGN Април храна,-0.01,0.00,BGN,COMPLETED,34.63
TRANSFER,Current,2025-03-08 18:54:29,2025-03-08 18:54:29,To BGN,21.50,0.00,BGN,COMPLETED,56.13
TRANSFER,Current,2025-03-08 19:11:45,2025-03-08 19:11:45,To BGN,13.00,0.00,BGN,COMPLETED,69.13
TRANSFER,Current,2025-03-08 19:21:10,2025-03-08 19:21:10,To BGN,34.25,0.00,BGN,COMPLETED,103.38
TRANSFER,Current,2025-03-08 19:22:50,2025-03-08 19:22:50,To BGN,15.90,0.00,BGN,COMPLETED,119.28
TRANSFER,Current,2025-03-08 19:23:20,2025-03-08 19:23:20,To BGN,16.85,0.00,BGN,COMPLETED,136.13
TRANSFER,Current,2025-03-08 19:23:44,2025-03-08 19:23:44,To BGN Април храна,-32.75,0.00,BGN,COMPLETED,103.38
CARD_PAYMENT,Current,2025-03-08 18:54:42,2025-03-09 16:29:48,PEPCO,-21.50,0.00,BGN,COMPLETED,81.88
CARD_PAYMENT,Current,2025-03-08 19:11:58,2025-03-09 16:29:48,PEPCO,-13.00,0.00,BGN,COMPLETED,68.88
TRANSFER,Current,2025-03-09 18:59:45,2025-03-09 18:59:45,To BGN,5.55,0.00,BGN,COMPLETED,74.43
CARD_PAYMENT,Current,2025-03-09 18:59:54,2025-03-10 15:10:26,BILLA,-5.55,0.00,BGN,COMPLETED,68.88
CARD_PAYMENT,Current,2025-03-07 16:00:08,2025-03-10 15:10:28,BILLA,-30.14,0.00,BGN,COMPLETED,38.74
CARD_PAYMENT,Current,2025-03-08 19:21:22,2025-03-10 15:10:29,BILLA,-34.25,0.00,BGN,COMPLETED,4.49
CARD_PAYMENT,Current,2025-03-07 16:20:57,2025-03-10 15:11:05,Zoomania Megastore Plovdiv,-4.49,0.00,BGN,COMPLETED,0.00
TRANSFER,Current,2025-03-11 19:26:21,2025-03-11 19:26:21,To BGN,10.00,0.00,BGN,COMPLETED,10.00
CARD_PAYMENT,Current,2025-03-11 19:31:37,2025-03-12 16:19:25,Elmaz Tts Ood,-5.18,0.00,BGN,COMPLETED,4.82
TRANSFER,Current,2025-03-12 17:28:11,2025-03-12 17:28:11,To BGN,54.32,0.00,BGN,COMPLETED,59.14
TRANSFER,Current,2025-03-12 17:32:08,2025-03-12 17:32:08,To BGN Април храна,-4.82,0.00,BGN,COMPLETED,54.32
TRANSFER,Current,2025-03-12 17:32:24,2025-03-12 17:32:24,To BGN,40.00,0.00,BGN,COMPLETED,94.32
TRANSFER,Current,2025-03-12 17:33:11,2025-03-12 17:33:11,To BGN Здраве 🩹,-29.50,0.00,BGN,COMPLETED,64.82
TRANSFER,Current,2025-03-12 17:59:51,2025-03-12 17:59:51,To BGN,14.14,0.00,BGN,COMPLETED,78.96
TRANSFER,Current,2025-03-12 18:17:57,2025-03-12 18:17:57,To BGN,10.21,0.00,BGN,COMPLETED,89.17
TRANSFER,Current,2025-03-12 21:34:00,2025-03-12 21:34:00,To BGN Април храна,-0.32,0.00,BGN,COMPLETED,88.85
TOPUP,Current,2025-03-13 09:21:19,2025-03-13 09:21:21,Apple Pay Top-Up by *1857,505.00,0.00,BGN,COMPLETED,593.85
TRANSFER,Current,2025-03-13 09:22:12,2025-03-13 09:22:12,Transfer to Revolut user,-390.00,0.00,BGN,COMPLETED,203.85
TRANSFER,Current,2025-03-13 09:22:34,2025-03-13 09:22:34,To BGN My,-30.00,0.00,BGN,COMPLETED,173.85
TRANSFER,Current,2025-03-13 09:22:51,2025-03-13 09:22:51,To BGN Дрехи 👗👔🥾,-30.00,0.00,BGN,COMPLETED,143.85
TRANSFER,Current,2025-03-13 09:29:11,2025-03-13 09:29:11,To BGN Подаръци,-20.00,0.00,BGN,COMPLETED,123.85
TRANSFER,Current,2025-03-13 09:29:22,2025-03-13 09:29:22,Transfer to Revolut user,-15.00,0.00,BGN,COMPLETED,108.85
TRANSFER,Current,2025-03-13 09:29:35,2025-03-13 09:29:35,To BGN Гориво Jogger,-15.00,0.00,BGN,COMPLETED,93.85
TRANSFER,Current,2025-03-13 09:29:46,2025-03-13 09:29:46,To BGN Екстра,-5.00,0.00,BGN,COMPLETED,88.85
TRANSFER,Current,2025-03-13 15:58:45,2025-03-13 15:58:45,To BGN,1.19,0.00,BGN,COMPLETED,90.04
CARD_PAYMENT,Current,2025-03-12 17:59:57,2025-03-13 16:30:48,Lidl,-14.14,0.00,BGN,COMPLETED,75.90
CARD_PAYMENT,Current,2025-03-12 17:32:54,2025-03-13 16:31:02,SOpharmacy,-10.18,0.00,BGN,COMPLETED,65.72
CARD_PAYMENT,Current,2025-03-12 18:18:02,2025-03-13 16:36:32,BILLA,-10.21,0.00,BGN,COMPLETED,55.51
CARD_PAYMENT,Current,2025-03-12 17:28:20,2025-03-13 18:24:15,Kaufland,-54.32,0.00,BGN,COMPLETED,1.19
